Description of Emergency,Title of Emergency
REINDEER CT & DEAD END;  NEW HANOVER; Station 332; 2015-12-10 @ 17:10:52;,EMS: BACK PAINS/INJURY
BRIAR PATH & WHITEMARSH LN;  HATFIELD TOWNSHIP; Station 345; 2015-12-10 @ 17:29:21;,EMS: DIABETIC EMERGENCY
HAWS AVE; NORRISTOWN; 2015-12-10 @ 14:39:21-Station:STA27;,Fire: GAS-ODOR/LEAK
AIRY ST & SWEDE ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 16:47:36;,EMS: CARDIAC EMERGENCY
CHERRYWOOD CT & DEAD END;  LOWER POTTSGROVE; Station 329; 2015-12-10 @ 16:56:52;,EMS: DIZZINESS
CANNON AVE & W 9TH ST;  LANSDALE; Station 345; 2015-12-10 @ 15:39:04;,EMS: HEAD INJURY
LAUREL AVE & OAKDALE AVE;  HORSHAM; Station 352; 2015-12-10 @ 16:46:48;,EMS: NAUSEA/VOMITING
COLLEGEVILLE RD & LYWISKI RD;  SKIPPACK; Station 336; 2015-12-10 @ 16:17:05;,EMS: RESPIRATORY EMERGENCY
MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-10 @ 16:51:42;,EMS: SYNCOPAL EPISODE
BLUEROUTE  & RAMP I476 NB TO CHEMICAL RD; PLYMOUTH; 2015-12-10 @ 17:35:41;,Traffic: VEHICLE ACCIDENT -
RT202 PKWY & KNAPP RD; MONTGOMERY; 2015-12-10 @ 17:33:50;,Traffic: VEHICLE ACCIDENT -
BROOK RD & COLWELL LN; PLYMOUTH; 2015-12-10 @ 16:32:10;,Traffic: VEHICLE ACCIDENT -
BYBERRY AVE & S WARMINSTER RD; UPPER MORELAND; 2015-12-10 @ 17:15:49;,Traffic: VEHICLE ACCIDENT -
OLD YORK RD & VALLEY RD; CHELTENHAM; 2015-12-10 @ 17:12:47;,Traffic: VEHICLE ACCIDENT -
SCHUYLKILL EXPY & CROTON RD UNDERPASS; UPPER MERION; 2015-12-10 @ 17:09:49;,Traffic: VEHICLE ACCIDENT -
STUMP RD & WITCHWOOD DR; MONTGOMERY; 2015-12-10 @ 17:31:00;,Traffic: VEHICLE ACCIDENT -
SUSQUEHANNA AVE & W MAIN ST;  LANSDALE; Station 345B; 2015-12-10 @ 17:42:44;,EMS: RESPIRATORY EMERGENCY
CHARLOTTE ST & MILES RD;  NEW HANOVER; Station 332; 2015-12-10 @ 17:41:54;,EMS: DIZZINESS
PENN ST & ARCH ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 17:43:29;,EMS: VEHICLE ACCIDENT
COUNTY LINE RD & WILLOW DR; HORSHAM; 2015-12-10 @ 17:45:23;,Traffic: DISABLED VEHICLE -
PENN ST & ARCH ST; NORRISTOWN; 2015-12-10 @ 17:43:45;,Traffic: VEHICLE ACCIDENT -
CHURCH RD & REDCOAT DR; WHITEMARSH; 2015-12-10 @ 17:53:22;,Traffic: DISABLED VEHICLE -
LILAC CT & PRIMROSE DR; UPPER GWYNEDD; 2015-12-10 @ 17:59:24-Station:STA80;,Fire: APPLIANCE FIRE
RT422  & PAWLINGS RD OVERPASS; LOWER PROVIDENCE; 2015-12-10 @ 18:00:38;,Traffic: DISABLED VEHICLE -
SUMMIT AVE & RT309 UNDERPASS; UPPER DUBLIN; 2015-12-10 @ 17:58:22;,Traffic: VEHICLE ACCIDENT -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-10 @ 18:02:02;,EMS: GENERAL WEAKNESS
PENLLYN BLUE BELL PIKE & VILLAGE CIR;  WHITPAIN; Station 385; 2015-12-10 @ 18:02:38;,EMS: HEAD INJURY
EDENTON PL & DURHAM DR; DELAWARE COUNTY; 2015-12-10 @ 18:05:19-Station:STA23;,Fire: CARBON MONOXIDE DETECTOR
SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2015-12-10 @ 18:05:39;,Traffic: VEHICLE ACCIDENT -
COUNTY LINE RD & WILLOW DR; HORSHAM; 2015-12-10 @ 18:10:40;,Traffic: DISABLED VEHICLE -
SCHUYLKILL EXPY & WEADLEY RD OVERPASS; UPPER MERION; 2015-12-10 @ 18:07:01;,Traffic: VEHICLE ACCIDENT -
CORNWALL TER & LIONS GATE CIR;  FRANCONIA; Station 339; 2015-12-10 @ 18:09:49;,EMS: RESPIRATORY EMERGENCY
PINE ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2015-12-10 @ 18:17:07;,EMS: UNKNOWN MEDICAL EMERGENCY
E GLENSIDE AVE & S KESWICK AVE; CHELTENHAM; 2015-12-10 @ 18:21:43;,Traffic: VEHICLE ACCIDENT -
MORRIS RD & MUHLENBURG DR; UPPER GWYNEDD; 2015-12-10 @ 18:23:13;,Traffic: DISABLED VEHICLE -
MOOREHEAD AVE & FRONT ST; WEST CONSHOHOCKEN; 2015-12-10 @ 18:20:28;,Traffic: DISABLED VEHICLE -
DRESHER RD & WELSH RD; HORSHAM; 2015-12-10 @ 18:23:11;,Traffic: VEHICLE ACCIDENT -
CONSHOHOCKEN STATE RD;  WEST CONSHOHOCKEN; Station 313A; 2015-12-10 @ 18:29:54;,EMS: VEHICLE ACCIDENT
CONSHOHOCKEN STATE RD & MERION HILL LN; WEST CONSHOHOCKEN; 2015-12-10 @ 18:30:41;,Traffic: VEHICLE ACCIDENT -
HAMPTON RD & BELMONT RD; UPPER MERION; 2015-12-10 @ 18:32:25-Station:STA49;,Fire: GAS-ODOR/LEAK
SPARANGO LN & MELISSA WAY;  PLYMOUTH; Station 308; 2015-12-10 @ 18:38:18;,EMS: UNRESPONSIVE SUBJECT
ALLENDALE RD & WILLS BLVD; UPPER MERION; 2015-12-10 @ 18:37:00;,Traffic: VEHICLE ACCIDENT -
ROSEMONT AVE & DEAD END;  LOWER MERION; Station 313; 2015-12-10 @ 18:43:07;,EMS: CARDIAC EMERGENCY
W WOOD ST & MARKLEY ST; NORRISTOWN; 2015-12-10 @ 18:47:18;,Traffic: VEHICLE ACCIDENT -
LINFIELD TRAPPE RD;  LIMERICK; Station 324A; 2015-12-10 @ 18:50:37;,EMS: VEHICLE ACCIDENT
LINFIELD TRAPPE RD; LIMERICK; 2015-12-10 @ 18:50:23-Station:STA51;,Fire: VEHICLE ACCIDENT
AUTO PARK BLVD & LINFIELD TRAPPE RD; LIMERICK; 2015-12-10 @ 18:51:34;,Traffic: VEHICLE ACCIDENT -
LINFIELD TRAPPE RD & RAMP N LEWIS RD TO RT422 EB; LIMERICK; 2015-12-10 @ 18:51:01;,Traffic: VEHICLE ACCIDENT -
DOCK DR & DEAD END;  TOWAMENCIN; Station 345B; 2015-12-10 @ 18:59:50;,EMS: ALTERED MENTAL STATUS
HARROW LN & DEAD END; WHITPAIN; 2015-12-10 @ 18:56:51-Station:STA33;,Fire: FIRE ALARM
CHURCH RD & E HANCOCK ST; LANSDALE; 2015-12-10 @ 19:06:07;,Traffic: VEHICLE ACCIDENT -
WILSON AVE & E PHILADELPHIA AVE;  DOUGLASS; Station 332; 2015-12-10 @ 19:07:27;,EMS: CVA/STROKE
LAFAYETTE RD & CONSHOHOCKEN STATE RD; LOWER MERION; 2015-12-10 @ 19:09:42-Station:STA24;,Fire: FIRE ALARM
W MT VERNON ST & S MITCHELL AVE; LANSDALE; 2015-12-10 @ 19:08:43;,Traffic: ROAD OBSTRUCTION -
YORK RD & RR CROSSING;  UPPER MORELAND; Station 381; 2015-12-10 @ 19:18:31;,EMS: UNKNOWN MEDICAL EMERGENCY
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-10 @ 19:12:13;,EMS: CVA/STROKE
FERNBROOK AVE & MAPLE AVE;  CHELTENHAM; Station 358A; 2015-12-10 @ 19:15:10;,EMS: SUBJECT IN PAIN
